""	"L617_KO1"	"L618_KO2"	"L619_KO3"	"L620_WT1"	"L621_WT2"	"L622_WT3"	"gene_name"
"ENSMUSG00000084801"	2.63573580090054	5.91468569110618	0.957097277480503	4.26843458790854	8.83531178231597	6.41422692982578	"Gm16929"
"ENSMUSG00000084803"	29.8716724102061	15.3781827968761	22.9703346595321	17.6835147213354	32.8168723343165	41.051052350885	"5830444B04Rik"
"ENSMUSG00000084806"	0	1.18293713822124	0.957097277480503	1.82932910910366	0	0	"Gm15232"
"ENSMUSG00000084808"	5.27147160180108	9.46349710576989	17.227750994649	10.3661982849207	15.1462487696845	12.8284538596516	"9430091E24Rik"
"ENSMUSG00000084810"	13.1786790045027	20.109931349761	22.0132373820516	7.31731643641465	12.6218739747371	16.676990017547	"Gm16761"
"ENSMUSG00000084812"	0	0	0	0	1.26218739747371	1.28284538596516	"2310039L15Rik"
"ENSMUSG00000084816"	6.15005020210126	0	1.91419455496101	1.82932910910366	3.78656219242113	0	"Gm11463"
"ENSMUSG00000084817"	0	0	0.957097277480503	0	1.26218739747371	0	"Gm5526"
"ENSMUSG00000084821"	0	0	0.957097277480503	0	0	0	"Gm15880"
"ENSMUSG00000084823"	0	2.36587427644247	0.957097277480503	0	0	0	"4732416N19Rik"
"ENSMUSG00000084826"	0	0	0	0	0	1.28284538596516	"AI847159"
"ENSMUSG00000084827"	0	0	0.957097277480503	0.609776369701221	0	0	"B230344G16Rik"
"ENSMUSG00000084830"	28.1145152096057	27.2075541790884	24.8845292144931	22.5617256789452	25.2437479494742	23.0912169473728	"Gm14539"
"ENSMUSG00000084832"	0	0	0.957097277480503	0	0	0	"4930563E18Rik"
"ENSMUSG00000084834"	5.27147160180108	4.73174855288494	1.91419455496101	4.26843458790854	2.52437479494742	7.69707231579093	"4930565N06Rik"
"ENSMUSG00000084835"	10.5429432036022	4.73174855288494	6.69968094236352	9.75642191521953	5.04874958989484	11.5456084736864	"Gm12352"
"ENSMUSG00000084836"	0	0	0	0	1.26218739747371	0	"Gm16274"
"ENSMUSG00000084839"	0	0	0.957097277480503	0	0	0	"Gm14097"
"ENSMUSG00000084841"	1.75715720060036	3.54881141466371	2.87129183244151	6.09776369701221	1.26218739747371	2.56569077193031	"Gm16712"
"ENSMUSG00000084844"	2.63573580090054	3.54881141466371	0.957097277480503	1.82932910910366	2.52437479494742	1.28284538596516	"Hoxb3os"
"ENSMUSG00000084845"	3.51431440120072	0	0.957097277480503	0.609776369701221	3.78656219242113	0	"Gm5151"
"ENSMUSG00000084846"	21.9644650075045	8.28055996754865	17.227750994649	25.6106075274513	15.1462487696845	23.0912169473728	"A730011C13Rik"
